PT08.S1(CO),PT08.S2(NMHC),C6H6(GT),NOx(GT)
1379.0,1101.0,13.5,184.0
1201.0,943.0,9.1,130.0
1205.0,925.0,8.6,132.0
1072.0,784.0,5.4,95.0
998.0,714.0,4.1,70.0
933.0,625.0,2.6,180.0
883.0,577.0,1.9,54.0
869.0,554.0,1.6,28.0
891.0,576.0,1.9,46.0
1173.0,878.0,7.5,160.0
1587.0,1334.0,21.4,320.0
1852.0,1696.0,36.4,377.0
1522.0,1331.0,21.3,280.0
1438.0,1161.0,15.4,221.0
1393.0,1067.0,12.5,210.0
1452.0,1152.0,15.1,204.0
1389.0,1108.0,13.7,161.0
1207.0,994.0,10.4,135.0
1365.0,1154.0,15.2,186.0
1247.0,1060.0,12.3,147.0
1557.0,1478.0,27.0,299.0
1973.0,1737.0,38.4,411.0
1975.0,1667.0,35.1,347.0
1795.0,1485.0,27.2,336.0
1444.0,1150.0,15.0,202.0
1488.0,1171.0,15.7,178.0
1371.0,1083.0,13.0,154.0
1161.0,904.0,8.1,92.0
1064.0,787.0,5.5,61.0
970.0,687.0,3.6,180.0
954.0,645.0,2.9,60.0
931.0,623.0,2.5,37.0
938.0,650.0,3.0,68.0
1166.0,885.0,7.7,139.0
1643.0,1384.0,23.3,339.0
1934.0,1682.0,35.8,421.0
1617.0,1333.0,21.3,349.0
1473.0,1127.0,14.3,224.0
1379.0,1068.0,12.5,171.0
1385.0,1056.0,12.2,149.0
1379.0,1087.0,13.1,137.0
1322.0,1129.0,14.4,149.0
1496.0,1205.0,16.8,172.0
1409.0,1131.0,14.5,166.0
1513.0,1338.0,21.5,214.0
1667.0,1464.0,26.4,280.0
1667.0,1453.0,26.0,276.0
1430.0,1121.0,14.1,178.0
1333.0,989.0,10.3,129.0
1262.0,911.0,8.3,95.0
1287.0,936.0,8.9,126.0
1134.0,840.0,6.6,103.0
999.0,688.0,3.6,48.0
961.0,622.0,2.5,180.0
934.0,569.0,1.8,20.0
913.0,525.0,1.3,18.0
969.0,607.0,2.3,56.0
1182.0,845.0,6.7,115.0
1740.0,1372.0,22.8,320.0
1819.0,1582.0,31.3,357.0
1427.0,1275.0,19.2,253.0
1390.0,1191.0,16.4,218.0
1283.0,1117.0,14.0,192.0
1304.0,1157.0,15.3,176.0
1364.0,1202.0,16.7,198.0
1410.0,1268.0,19.0,212.0
1476.0,1280.0,19.4,249.0
1522.0,1320.0,20.9,270.0
1442.0,1301.0,20.2,231.0
1469.0,1344.0,21.7,251.0
1467.0,1292.0,19.8,210.0
1421.0,1202.0,16.7,249.0
1175.0,945.0,9.1,143.0
1215.0,912.0,8.3,127.0
1127.0,802.0,5.8,104.0
1090.0,773.0,5.2,86.0
1017.0,718.0,4.1,74.0
997.0,677.0,3.4,180.0
945.0,646.0,2.9,44.0
956.0,661.0,3.1,42.0
966.0,622.0,2.5,63.0
1064.0,728.0,4.3,115.0
1300.0,935.0,8.9,170.0
1348.0,998.0,10.5,147.0
1425.0,1068.0,12.5,166.0
1474.0,1061.0,12.3,195.0
1490.0,1039.0,11.7,182.0
1495.0,1040.0,11.7,168.0
1376.0,953.0,9.3,125.0
1305.0,884.0,7.6,95.0
1283.0,844.0,6.7,79.0
1392.0,967.0,9.7,119.0
1452.0,1063.0,12.4,142.0
1633.0,1199.0,16.6,215.0
1625.0,1191.0,16.4,229.0
1535.0,1108.0,13.7,206.0
1323.0,973.0,9.9,147.0
1309.0,937.0,8.9,122.0
1456.0,999.0,10.6,175.0
1300.0,872.0,7.4,133.0
1203.0,823.0,6.2,89.0
1195.0,836.0,6.5,180.0
1117.0,802.0,5.8,85.0
1062.0,711.0,4.0,55.0
947.0,594.0,2.1,24.0
1065.0,687.0,3.6,72.0
1155.0,734.0,4.4,122.0
1220.0,782.0,5.4,111.0
1301.0,862.0,7.1,123.0
1279.0,870.0,7.3,106.0
1267.0,883.0,7.6,103.0
1239.0,848.0,6.8,102.0
1128.0,742.0,4.6,48.0
1243.0,916.0,8.4,63.0
1208.0,853.0,6.9,98.0
1306.0,938.0,9.0,132.0
1546.0,1151.0,15.1,173.0
1501.0,1071.0,12.6,185.0
1605.0,1153.0,15.1,266.0
1316.0,974.0,9.9,188.0
1195.0,898.0,8.0,122.0
1211.0,896.0,7.9,112.0
1161.0,815.0,6.1,93.0
1095.0,767.0,5.1,74.0
897.0,563.0,1.7,23.0
842.0,468.0,0.7,180.0
854.0,481.0,0.8,17.0
845.0,472.0,0.7,15.0
942.0,586.0,2.0,41.0
1090.0,768.0,5.1,86.0
1514.0,1230.0,17.7,226.0
1379.0,1252.0,18.4,214.0
1074.0,854.0,6.9,115.0
1090.0,868.0,7.3,124.0
1110.0,964.0,9.6,122.0
1102.0,994.0,10.4,107.0
1100.0,1021.0,11.2,133.0
1094.0,1003.0,10.7,130.0
1076.0,1034.0,11.6,150.0
1152.0,1062.0,12.4,138.0
1407.0,1249.0,18.3,213.0
1438.0,1325.0,21.0,232.0
1425.0,1325.0,21.0,238.0
1279.0,1131.0,14.5,180.0
1132.0,916.0,8.4,128.0
1006.0,729.0,4.3,65.0
982.0,700.0,3.8,53.0
969.0,636.0,2.7,47.0
941.0,621.0,2.5,51.0
892.0,522.0,1.2,180.0
855.0,478.0,0.8,20.0
834.0,459.0,0.6,13.0
909.0,567.0,1.8,33.0
1061.0,745.0,4.6,103.0
1441.0,1124.0,14.2,224.0
1498.0,1325.0,21.0,244.0
1343.0,1185.0,16.2,237.0
1308.0,1166.0,15.5,220.0
1209.0,1097.0,13.4,207.0
1310.0,1207.0,16.9,208.0
1171.0,1064.0,12.4,160.0
1112.0,980.0,10.1,131.0
1132.0,927.0,8.7,128.0
1225.0,1111.0,13.8,176.0
1065.0,953.0,9.3,107.0
1236.0,1084.0,13.0,131.0
1309.0,1126.0,14.3,166.0
1089.0,884.0,7.6,89.0
1000.0,776.0,5.3,81.0
1041.0,782.0,5.4,78.0
1045.0,756.0,4.9,70.0
997.0,744.0,4.6,76.0
948.0,634.0,2.7,43.0
878.0,551.0,1.6,180.0
908.0,559.0,1.7,44.0
892.0,522.0,1.2,34.0
954.0,561.0,1.7,43.0
1045.0,751.0,4.8,79.0
1383.0,1109.0,13.8,174.0
1597.0,1395.0,23.7,235.0
1318.0,1124.0,14.2,218.0
1138.0,898.0,8.0,136.0
1098.0,842.0,6.7,117.0
1118.0,927.0,8.7,119.0
1170.0,1009.0,10.8,126.0
1112.0,842.0,6.7,100.0
1390.0,1028.0,11.4,197.0
1353.0,1096.0,13.4,195.0
1260.0,1050.0,12.0,156.0
1501.0,1302.0,20.2,247.0
1273.0,1130.0,14.4,190.0
1179.0,955.0,9.4,169.0
1047.0,809.0,5.9,118.0
973.0,739.0,4.5,81.0
997.0,737.0,4.5,80.0
970.0,621.0,2.5,42.0
902.0,568.0,1.8,38.0
921.0,538.0,1.4,180.0
858.0,490.0,0.9,18.0
878.0,457.0,0.6,12.0
893.0,540.0,1.4,43.0
1038.0,697.0,3.8,84.0
1320.0,1035.0,11.6,184.0
1353.0,1235.0,17.8,202.0
1133.0,933.0,8.8,133.0
1066.0,849.0,6.8,130.0
1027.0,809.0,5.9,106.0
1106.0,935.0,8.9,132.0
1038.0,907.0,8.2,106.0
1084.0,924.0,8.6,125.0
1105.0,982.0,10.1,138.0
1102.0,957.0,9.4,120.0
1240.0,1137.0,14.6,158.0
1443.0,1418.0,24.6,253.0
1389.0,1341.0,21.6,231.0
1183.0,989.0,10.3,150.0
1014.0,798.0,5.7,99.0
979.0,736.0,4.5,75.0
1048.0,787.0,5.5,93.0
1024.0,753.0,4.8,79.0
974.0,690.0,3.6,67.0
862.0,561.0,1.7,180.0
925.0,602.0,2.2,45.0
952.0,654.0,3.0,72.0
1005.0,713.0,4.0,103.0
1122.0,842.0,6.7,132.0
1351.0,1201.0,16.7,239.0
1408.0,1278.0,19.3,275.0
1304.0,1142.0,14.8,232.0
1207.0,1098.0,13.4,180.0
1099.0,1014.0,11.0,112.0
1106.0,1068.0,12.5,116.0
1009.0,916.0,8.4,103.0
962.0,776.0,5.3,89.0
1093.0,933.0,8.8,112.0
1180.0,1023.0,11.2,127.0
1168.0,1037.0,11.6,125.0
1168.0,1063.0,12.4,120.0
1140.0,1000.0,10.6,120.0
1001.0,811.0,6.0,99.0
953.0,743.0,4.6,79.0
972.0,715.0,4.1,66.0
1021.0,776.0,5.2,94.0
940.0,664.0,3.2,70.0
1046.0,736.0,4.5,75.0
1026.0,699.0,3.8,180.0
983.0,698.0,3.8,57.0
915.0,578.0,1.9,32.0
935.0,615.0,2.4,54.0
976.0,669.0,3.3,68.0
1124.0,842.0,6.7,98.0
1163.0,919.0,8.5,128.0
1167.0,966.0,9.7,129.0
1121.0,955.0,9.4,130.0
1071.0,940.0,9.0,111.0
1065.0,979.0,10.0,106.0
1157.0,1072.0,12.6,137.0
1046.0,883.0,7.6,113.0
1147.0,1042.0,11.8,122.0
1119.0,1022.0,11.2,137.0
1210.0,1062.0,12.4,165.0
1306.0,1079.0,12.9,196.0
1258.0,1057.0,12.2,174.0
1148.0,930.0,8.8,140.0
1108.0,848.0,6.8,102.0
1231.0,924.0,8.6,130.0
1293.0,937.0,8.9,121.0
1274.0,912.0,8.3,111.0
1135.0,827.0,6.3,87.0
1151.0,911.0,8.3,180.0
1010.0,769.0,5.1,77.0
870.0,626.0,2.6,39.0
983.0,688.0,3.6,77.0
995.0,691.0,3.6,91.0
1024.0,747.0,4.7,105.0
1163.0,880.0,7.5,133.0
1218.0,938.0,9.0,128.0
1210.0,958.0,9.5,126.0
1114.0,887.0,7.7,92.0
995.0,796.0,5.7,66.0
927.0,700.0,3.8,50.0
1002.0,754.0,4.8,70.0
987.0,727.0,4.3,73.0
993.0,714.0,4.1,77.0
1012.0,746.0,4.7,86.0
1114.0,823.0,6.2,93.0
1093.0,789.0,5.5,105.0
968.0,669.0,3.3,67.0
960.0,666.0,3.2,63.0
942.0,648.0,2.9,63.0
888.0,598.0,2.2,46.0
818.0,524.0,1.3,21.0
840.0,509.0,1.1,22.0
894.0,524.0,1.3,180.0
864.0,516.0,1.2,39.0
898.0,559.0,1.7,55.0
946.0,643.0,2.9,76.0
1309.0,1125.0,14.3,181.0
1326.0,1289.0,19.7,259.0
966.0,786.0,5.5,118.0
975.0,793.0,5.6,119.0
988.0,803.0,5.8,123.0
971.0,786.0,5.5,92.0
1010.0,833.0,6.5,91.0
984.0,790.0,5.5,103.0
962.0,776.0,5.2,102.0
1012.0,801.0,5.8,94.0
1058.0,896.0,7.9,98.0
1173.0,985.0,10.2,126.0
1127.0,907.0,8.2,108.0
1020.0,797.0,5.7,95.0
949.0,700.0,3.8,78.0
930.0,710.0,4.0,61.0
900.0,643.0,2.8,55.0
899.0,630.0,2.6,57.0
866.0,569.0,1.8,41.0
900.0,563.0,1.7,46.0
949.0,540.0,1.4,180.0
897.0,529.0,1.3,41.0
956.0,605.0,2.3,52.0
1054.0,779.0,5.3,111.0
1343.0,1096.0,13.4,191.0
1584.0,1399.0,23.8,244.0
1556.0,1337.0,21.5,283.0
1565.0,1324.0,21.0,320.0
1429.0,1251.0,18.4,249.0
1419.0,1267.0,18.9,219.0
1373.0,1213.0,17.1,200.0
1185.0,992.0,10.4,138.0
1122.0,897.0,8.0,118.0
1085.0,820.0,6.2,99.0
1249.0,968.0,9.7,112.0
1236.0,962.0,9.6,117.0
1334.0,1047.0,11.9,129.0
1264.0,928.0,8.7,132.0
1073.0,746.0,4.7,73.0
1053.0,701.0,3.8,68.0
1098.0,747.0,4.7,80.0
1029.0,702.0,3.8,68.0
973.0,631.0,2.7,44.0
972.0,639.0,2.8,47.0
832.0,496.0,1.0,180.0
851.0,477.0,0.8,15.0
909.0,545.0,1.5,44.0
1038.0,684.0,3.5,85.0
1636.0,1168.0,15.6,207.0
1580.0,1295.0,19.9,230.0
1262.0,924.0,8.6,181.0
1197.0,837.0,6.5,144.0
1277.0,886.0,7.7,140.0
1430.0,1025.0,11.3,204.0
1242.0,944.0,9.1,149.0
1349.0,1023.0,11.2,171.0
1390.0,1100.0,13.5,195.0
1224.0,980.0,10.1,152.0
1253.0,1026.0,11.3,128.0
1312.0,1041.0,11.8,121.0
1254.0,1033.0,11.5,142.0
1198.0,953.0,9.3,131.0
1060.0,787.0,5.5,81.0
1050.0,769.0,5.1,60.0
1029.0,754.0,4.8,57.0
1143.0,825.0,6.3,96.0
1044.0,770.0,5.1,85.0
1034.0,716.0,4.1,50.0
956.0,713.0,4.0,180.0
909.0,615.0,2.4,57.0
996.0,648.0,2.9,64.0
1154.0,876.0,7.4,153.0
1510.0,1291.0,19.8,342.0
1722.0,1595.0,31.9,378.0
1512.0,1323.0,21.0,304.0
1258.0,1040.0,11.7,192.0
1094.0,850.0,6.8,130.0
1129.0,875.0,7.4,106.0
1125.0,924.0,8.6,102.0
1063.0,909.0,8.2,99.0
1063.0,909.0,8.2,108.0
1063.0,909.0,8.2,131.0
1308.0,1193.0,16.4,163.0
1529.0,1331.0,21.2,211.0
1592.0,1429.0,25.0,267.0
1536.0,1302.0,20.2,269.0
1192.0,1007.0,10.8,154.0
1186.0,976.0,9.9,127.0
1203.0,920.0,8.5,122.0
1139.0,899.0,8.0,126.0
1072.0,795.0,5.6,84.0
954.0,667.0,3.2,58.0
951.0,673.0,3.3,180.0
926.0,638.0,2.8,37.0
968.0,628.0,2.6,56.0
1067.0,727.0,4.3,91.0
1386.0,1083.0,13.0,159.0
1474.0,1306.0,20.3,190.0
1569.0,1316.0,20.7,249.0
1375.0,1177.0,15.9,196.0
1328.0,1123.0,14.2,180.0
1341.0,1176.0,15.9,167.0
1297.0,1183.0,16.1,159.0
1303.0,1139.0,14.7,152.0
1281.0,1116.0,14.0,149.0
1248.0,1103.0,13.6,143.0
1382.0,1288.0,19.7,185.0
1491.0,1385.0,23.3,223.0
1620.0,1407.0,24.1,215.0
1693.0,1439.0,25.4,271.0
1374.0,1121.0,14.1,180.0
1287.0,982.0,10.1,115.0
1408.0,1052.0,12.1,149.0
1254.0,941.0,9.0,98.0
1141.0,827.0,6.3,73.0
1141.0,777.0,5.3,69.0
1042.0,697.0,3.8,180.0
986.0,651.0,3.0,60.0
1005.0,673.0,3.3,56.0
1041.0,683.0,3.5,73.0
1272.0,959.0,9.5,159.0
1436.0,1154.0,15.2,203.0
1472.0,1126.0,14.3,211.0
1418.0,1023.0,11.2,180.0
1410.0,1030.0,11.4,180.0
1438.0,1096.0,13.4,180.0
1278.0,1000.0,10.6,180.0
1257.0,1006.0,10.8,180.0
1331.0,1046.0,11.9,180.0
1361.0,1102.0,13.5,180.0
1398.0,1156.0,15.2,180.0
1483.0,1213.0,17.1,180.0
1697.0,1471.0,26.7,180.0
1459.0,1124.0,14.2,180.0
1268.0,918.0,8.5,180.0
1469.0,1128.0,14.3,180.0
1316.0,952.0,9.3,180.0
1224.0,892.0,7.8,180.0
1215.0,843.0,6.7,180.0
1115.0,782.0,5.4,180.0
1124.0,793.0,5.6,180.0
1028.0,682.0,3.5,180.0
1010.0,650.0,3.0,180.0
1074.0,731.0,4.4,180.0
1034.0,684.0,3.5,180.0
1130.0,720.0,4.2,180.0
1275.0,900.0,8.0,180.0
1324.0,939.0,9.0,180.0
1268.0,902.0,8.1,180.0
1272.0,924.0,8.6,180.0
1160.0,860.0,7.1,180.0
1136.0,792.0,5.6,180.0
1296.0,977.0,10.0,180.0
1345.0,996.0,10.5,180.0
1296.0,983.0,10.1,180.0
1258.0,977.0,10.0,180.0
1420.0,1085.0,13.0,180.0
1366.0,997.0,10.5,180.0
1113.0,772.0,5.2,180.0
1196.0,853.0,6.9,180.0
1188.0,829.0,6.4,180.0
1102.0,750.0,4.7,180.0
969.0,611.0,2.4,180.0
983.0,600.0,2.2,180.0
876.0,505.0,1.1,180.0
884.0,489.0,0.9,180.0
1024.0,658.0,3.1,180.0
1126.0,822.0,6.2,180.0
1415.0,1089.0,13.2,180.0
1631.0,1449.0,25.8,180.0
1499.0,1247.0,18.2,180.0
1461.0,1127.0,14.3,236.0
1430.0,1107.0,13.7,228.0
1498.0,1171.0,15.7,206.0
1454.0,1162.0,15.4,188.0
1402.0,1069.0,12.6,158.0
1327.0,971.0,9.8,124.0
1273.0,963.0,9.6,98.0
1457.0,1190.0,16.3,160.0
1543.0,1290.0,19.8,194.0
1499.0,1239.0,18.0,174.0
1378.0,1102.0,13.6,157.0
1243.0,928.0,8.7,109.0
1196.0,885.0,7.7,85.0
1137.0,869.0,7.3,90.0
1015.0,718.0,4.1,61.0
978.0,635.0,2.7,36.0
933.0,547.0,1.5,25.0
927.0,579.0,1.9,180.0
908.0,569.0,1.8,24.0
980.0,677.0,3.4,73.0
1236.0,920.0,8.5,164.0
1664.0,1407.0,24.1,329.0
1757.0,1636.0,33.7,302.0
1524.0,1350.0,22.0,256.0
1329.0,1119.0,14.1,182.0
1167.0,884.0,7.6,105.0
1369.0,1132.0,14.5,136.0
1284.0,1103.0,13.6,167.0
1221.0,1032.0,11.5,166.0
1096.0,947.0,9.2,115.0
1143.0,988.0,10.3,109.0
1251.0,1116.0,14.0,143.0
1268.0,1148.0,15.0,159.0
1314.0,1150.0,15.1,181.0
1315.0,1142.0,14.8,178.0
1095.0,918.0,8.5,91.0
1027.0,808.0,5.9,76.0
1012.0,752.0,4.8,66.0
948.0,710.0,4.0,56.0
889.0,603.0,2.3,35.0
830.0,538.0,1.4,21.0
801.0,464.0,0.7,180.0
804.0,468.0,0.7,12.0
824.0,478.0,0.8,22.0
1000.0,688.0,3.6,55.0
1307.0,1082.0,12.9,152.0
1286.0,1171.0,15.7,153.0
1150.0,925.0,8.6,152.0
1087.0,876.0,7.4,112.0
1016.0,839.0,6.6,119.0
1029.0,892.0,7.8,122.0
1109.0,943.0,9.1,115.0
997.0,817.0,6.1,84.0
1177.0,880.0,7.5,146.0
1045.0,808.0,5.9,65.0
1171.0,1073.0,12.7,120.0
1221.0,1101.0,13.5,185.0
1262.0,1133.0,14.5,157.0
1207.0,1013.0,11.0,174.0
956.0,666.0,3.2,62.0
1020.0,727.0,4.3,81.0
1107.0,861.0,7.1,118.0
1020.0,752.0,4.8,95.0
1051.0,798.0,5.7,84.0
965.0,716.0,4.1,56.0
890.0,672.0,3.3,180.0
823.0,568.0,1.8,43.0
869.0,642.0,2.8,69.0
939.0,754.0,4.8,74.0
1274.0,1109.0,13.8,161.0
1512.0,1482.0,27.1,308.0
1435.0,1271.0,19.1,300.0
1207.0,1041.0,11.7,189.0
1223.0,1075.0,12.7,164.0
1121.0,1026.0,11.3,122.0
1176.0,1123.0,14.2,166.0
1144.0,1114.0,13.9,181.0
1136.0,1089.0,13.2,127.0
1085.0,1004.0,10.7,106.0
1297.0,1287.0,19.7,192.0
1408.0,1404.0,24.0,241.0
1618.0,1530.0,29.1,326.0
1319.0,1172.0,15.8,232.0
1045.0,857.0,7.0,92.0
1058.0,824.0,6.3,95.0
1063.0,909.0,8.2,129.0
1063.0,909.0,8.2,154.0
1063.0,909.0,8.2,118.0
1063.0,909.0,8.2,69.0
1063.0,909.0,8.2,180.0
1063.0,909.0,8.2,97.0
1063.0,909.0,8.2,145.0
1063.0,909.0,8.2,169.0
1063.0,909.0,8.2,250.0
1063.0,909.0,8.2,215.0
1063.0,909.0,8.2,237.0
1063.0,909.0,8.2,190.0
1063.0,909.0,8.2,219.0
1063.0,909.0,8.2,294.0
1063.0,909.0,8.2,253.0
1063.0,909.0,8.2,176.0
1063.0,909.0,8.2,243.0
1063.0,909.0,8.2,214.0
1063.0,909.0,8.2,141.0
1063.0,909.0,8.2,166.0
1063.0,909.0,8.2,197.0
1063.0,909.0,8.2,191.0
1063.0,909.0,8.2,159.0
1063.0,909.0,8.2,175.0
1176.0,917.0,8.4,157.0
1047.0,783.0,5.4,83.0
1116.0,854.0,6.9,118.0
1074.0,832.0,6.4,101.0
922.0,687.0,3.6,180.0
898.0,669.0,3.3,46.0
970.0,708.0,4.0,81.0
1073.0,812.0,6.0,112.0
1081.0,906.0,8.2,150.0
1159.0,976.0,9.9,138.0
1112.0,931.0,8.8,124.0
1112.0,917.0,8.4,124.0
1063.0,877.0,7.5,115.0
1032.0,892.0,7.8,101.0
936.0,829.0,6.4,90.0
883.0,766.0,5.1,90.0
942.0,852.0,6.9,89.0
943.0,850.0,6.8,92.0
1007.0,875.0,7.4,103.0
1037.0,927.0,8.7,122.0
1127.0,1022.0,11.2,159.0
1123.0,996.0,10.5,172.0
1110.0,909.0,8.2,125.0
1247.0,1037.0,11.6,187.0
1220.0,967.0,9.7,174.0
1028.0,770.0,5.1,75.0
978.0,711.0,4.0,48.0
949.0,694.0,3.7,61.0
910.0,709.0,4.0,180.0
863.0,651.0,3.0,38.0
836.0,643.0,2.9,38.0
856.0,644.0,2.9,41.0
888.0,651.0,3.0,51.0
912.0,694.0,3.7,61.0
938.0,706.0,3.9,47.0
1053.0,823.0,6.2,87.0
1087.0,870.0,7.3,107.0
1153.0,945.0,9.2,161.0
894.0,710.0,4.0,61.0
797.0,606.0,2.3,26.0
854.0,658.0,3.1,42.0
892.0,665.0,3.2,55.0
935.0,672.0,3.3,65.0
989.0,709.0,4.0,75.0
1063.0,797.0,5.7,93.0
922.0,674.0,3.4,63.0
925.0,680.0,3.5,60.0
924.0,648.0,2.9,63.0
914.0,661.0,3.1,66.0
840.0,556.0,1.6,41.0
799.0,514.0,1.1,42.0
856.0,581.0,2.0,36.0
830.0,560.0,1.7,180.0
753.0,462.0,0.7,16.0
785.0,448.0,0.5,16.0
835.0,472.0,0.7,33.0
865.0,494.0,0.9,39.0
922.0,541.0,1.5,45.0
975.0,598.0,2.2,63.0
1040.0,646.0,2.9,71.0
1115.0,707.0,3.9,104.0
1004.0,641.0,2.8,85.0
895.0,536.0,1.4,53.0
917.0,563.0,1.7,58.0
1025.0,689.0,3.6,89.0
1035.0,660.0,3.1,96.0
1025.0,682.0,3.5,88.0
1040.0,705.0,3.9,100.0
1070.0,776.0,5.2,127.0
964.0,692.0,3.7,88.0
904.0,635.0,2.7,66.0
913.0,626.0,2.6,61.0
914.0,610.0,2.4,54.0
893.0,587.0,2.0,46.0
844.0,532.0,1.3,25.0
837.0,518.0,1.2,18.0
868.0,530.0,1.3,180.0
825.0,489.0,0.9,21.0
956.0,656.0,3.1,76.0
1124.0,853.0,6.9,149.0
1496.0,1272.0,19.1,328.0
1452.0,1354.0,22.1,282.0
1172.0,1042.0,11.8,206.0
1020.0,871.0,7.3,133.0
1044.0,900.0,8.0,137.0
1020.0,866.0,7.2,116.0
1009.0,885.0,7.7,112.0
1073.0,966.0,9.7,128.0
